",""MUNICIPIOS"",""RISP"",""JAN"",""FEV"",""MAR"",""ABR"",""MAI"",""JUN"",""JUL"",""AGO"",""SET"",""OUT"",""NOV"",""DEZ"""
"39,""CONCEICAO DO ARAGUAIA"",""13RISP"",2,2,3,0,0,2,3,5,1,4,2,1"
"40,""CONCORDIA DO PARA"",""03RISP"",1,0,1,1,0,1,4,1,0,0,3,0"
"41,""CUMARU DO NORTE"",""13RISP"",0,0,0,0,0,0,0,1,0,0,1,1"
"42,""CURIONOPOLIS"",""10RISP"",0,1,0,1,0,0,0,0,0,2,0,1"
"43,""CURRALINHO"",""08RISP"",0,0,2,2,0,1,2,4,3,2,3,0"
"44,""CURUA"",""12RISP"",0,0,0,0,0,1,0,1,1,0,0,0"
"45,""CURUCA"",""03RISP"",0,0,2,1,1,4,1,2,4,0,1,1"
"46,""DOM ELISEU"",""07RISP"",0,3,1,0,1,1,2,1,3,1,2,1"
"47,""ELDORADO DOS CARAJAS"",""10RISP"",1,2,2,0,0,3,3,1,3,4,4,0"
"48,""FARO"",""12RISP"",1,0,0,0,1,1,1,0,0,1,1,0"
"49,""FLORESTA DO ARAGUAIA"",""13RISP"",0,1,3,0,0,4,0,1,3,5,0,1"
"50,""GARRAFAO DO NORTE"",""06RISP"",1,0,0,1,0,0,1,1,2,1,1,0"
"51,""GOIANESIA DO PARA"",""09RISP"",5,0,4,0,1,2,1,0,6,1,1,1"
"52,""GURUPA"",""08RISP"",0,0,0,2,1,1,0,1,0,3,0,0"
"53,""IGARAPE-ACU"",""03RISP"",1,2,2,0,3,0,3,1,1,1,2,3"
"54,""IGARAPE-MIRI"",""04RISP"",1,1,3,0,3,3,1,1,4,1,3,0"
"55,""INHANGAPI"",""03RISP"",0,0,1,0,3,0,0,0,0,1,0,2"
"56,""IPIXUNA DO PARA"",""07RISP"",2,1,2,1,1,0,1,3,0,2,1,1"
"57,""IRITUIA"",""03RISP"",1,2,1,1,3,2,1,0,2,2,1,2"
"58,""ITAITUBA"",""15RISP"",4,4,3,4,3,5,5,2,4,10,4,6"
"59,""ITUPIRANGA"",""10RISP"",0,0,0,3,3,2,2,2,3,4,0,2"
"60,""JACAREACANGA"",""15RISP"",0,0,0,2,2,1,0,1,0,2,0,0"
"61,""JACUNDA"",""09RISP"",4,0,0,0,2,0,3,3,7,0,3,2"
"62,""JURUTI"",""12RISP"",1,2,6,2,2,3,3,3,1,0,2,1"
"63,""LIMOEIRO DO AJURU"",""04RISP"",0,0,0,0,3,1,1,0,1,2,2,1"
"64,""MAE DO RIO"",""07RISP"",0,0,1,0,3,1,0,3,0,0,0,0"
"65,""MAGALHAES BARATA"",""03RISP"",0,0,0,0,1,0,0,2,0,1,1,0"
"66,""MARABA"",""10RISP"",4,11,7,5,12,8,13,13,10,7,8,4"
"67,""MARACANA"",""03RISP"",1,0,0,0,0,0,1,1,5,1,2,1"
"68,""MARAPANIM"",""03RISP"",1,1,1,2,1,0,3,3,2,2,2,0"
"69,""MARITUBA"",""02RISP"",5,5,4,4,3,4,1,5,3,1,6,3"
"70,""MEDICILANDIA"",""11RISP"",0,1,2,0,0,1,2,1,1,1,3,0"
"71,""MELGACO"",""08RISP"",0,0,0,0,0,0,2,0,0,0,0,1"
"72,""MOCAJUBA"",""04RISP"",1,0,0,1,1,0,1,0,1,2,2,1"
"73,""MOJU"",""04RISP"",2,4,4,4,4,4,8,2,5,3,2,5"
"74,""MOJUI DOS CAMPOS"",""12RISP"",0,1,0,1,2,0,2,1,0,1,2,0"
"75,""MONTE ALEGRE"",""12RISP"",0,0,0,2,0,0,3,1,1,2,1,2"
"76,""MUANA"",""05RISP"",2,1,0,2,0,1,1,1,2,1,0,0"
"77,""NOVA ESPERANCA DO PIRIA"",""06RISP"",1,1,1,0,0,1,1,0,0,1,2,0"
"78,""NOVA IPIXUNA"",""10RISP"",0,0,1,0,0,0,0,2,0,1,0,0"
"79,""NOVA TIMBOTEUA"",""06RISP"",0,1,1,0,0,0,0,1,0,0,0,0"
"80,""NOVO PROGRESSO"",""15RISP"",3,2,0,2,2,1,1,4,1,2,1,2"
"81,""NOVO REPARTIMENTO"",""09RISP"",1,1,1,2,2,1,0,1,2,2,2,0"
"82,""OBIDOS"",""12RISP"",0,1,1,2,3,3,1,0,2,0,0,2"
"83,""OEIRAS DO PARA"",""04RISP"",1,4,2,2,1,3,2,2,3,1,9,3"
"84,""ORIXIMINA"",""12RISP"",3,0,3,0,0,1,0,0,2,1,1,0"
"85,""OUREM"",""06RISP"",0,0,0,1,1,1,1,2,0,2,1,0"
"86,""OURILANDIA DO NORTE"",""14RISP"",0,0,3,1,0,0,1,2,4,2,1,0"
"87,""PACAJA"",""09RISP"",1,3,2,3,0,0,1,1,1,0,1,1"
"88,""PALESTINA DO PARA"",""10RISP"",0,0,1,0,0,0,3,0,1,0,0,0"
"89,""PARAGOMINAS"",""07RISP"",2,5,2,1,6,3,3,4,12,5,8,2"
"90,""PARAUAPEBAS"",""10RISP"",5,3,18,11,12,11,18,12,10,15,13,8"
"91,""PAU D ARCO"",""13RISP"",1,0,0,0,2,0,0,2,0,0,0,0"
"92,""PEIXE-BOI"",""06RISP"",0,0,0,0,0,0,0,0,1,0,0,0"
"93,""PICARRA"",""10RISP"",0,0,0,0,0,1,0,0,0,0,0,1"
"94,""PLACAS"",""15RISP"",1,0,2,0,0,0,1,1,2,2,0,1"
"95,""PONTA DE PEDRAS"",""05RISP"",2,0,1,0,0,6,2,2,3,1,5,3"
"96,""PORTEL"",""08RISP"",5,3,1,3,1,4,5,1,1,4,1,2"
"97,""PORTO DE MOZ"",""11RISP"",2,5,2,2,2,1,1,6,2,2,0,2"
"98,""PRAINHA"",""12RISP"",1,0,0,1,1,0,0,0,1,0,2,0"
"99,""PRIMAVERA"",""06RISP"",0,0,0,1,1,0,2,1,0,2,0,0"
"100,""QUATIPURU"",""06RISP"",1,0,0,0,0,0,1,0,0,0,2,0"
"101,""REDENCAO"",""13RISP"",1,3,2,0,2,3,3,3,1,0,3,1"
"102,""RIO MARIA"",""14RISP"",0,2,0,1,1,1,1,1,0,0,2,1"
"103,""RONDON DO PARA"",""10RISP"",1,3,5,4,3,1,2,1,2,0,2,2"
"104,""RUROPOLIS"",""15RISP"",1,1,4,0,1,0,2,0,0,2,0,1"
"105,""SALINOPOLIS"",""06RISP"",2,3,1,0,6,4,4,3,3,0,4,4"
"106,""SALVATERRA"",""05RISP"",2,0,3,2,3,2,3,2,3,0,2,2"
"107,""SANTA BARBARA DO PARA"",""02RISP"",1,1,2,1,1,0,2,0,1,1,4,2"
"108,""SANTA CRUZ DO ARARI"",""05RISP"",0,0,1,0,0,0,2,0,0,0,0,0"
"109,""SANTA IZABEL DO PARA"",""03RISP"",4,1,4,2,4,0,4,2,4,1,3,2"
"110,""SANTA LUZIA DO PARA"",""06RISP"",0,0,1,1,1,4,2,0,0,0,0,0"
"111,""SANTA MARIA DAS BARREIRAS"",""13RISP"",1,0,0,0,3,0,1,0,0,1,2,1"
"112,""SANTA MARIA DO PARA"",""03RISP"",0,0,1,0,0,1,1,2,1,0,0,0"
"113,""SANTANA DO ARAGUAIA"",""13RISP"",3,1,5,9,0,2,2,1,3,0,2,2"
"114,""SANTAREM"",""12RISP"",12,12,17,11,13,14,12,14,14,10,11,8"
"115,""SANTAREM NOVO"",""06RISP"",0,0,0,0,2,0,0,0,0,1,0,1"
"116,""SANTO ANTONIO DO TAUA"",""03RISP"",3,1,3,1,1,1,3,1,2,0,0,0"
"117,""SAO CAETANO DE ODIVELAS"",""03RISP"",3,1,1,1,2,2,2,0,0,1,0,0"
"118,""SAO DOMINGOS DO ARAGUAIA"",""10RISP"",0,0,0,0,0,0,0,0,1,1,0,1"
"119,""SAO DOMINGOS DO CAPIM"",""03RISP"",2,3,1,0,0,0,1,1,1,1,4,1"
"120,""SAO FELIX DO XINGU"",""14RISP"",1,0,1,1,3,0,1,2,4,1,3,3"
"121,""SAO FRANCISCO DO PARA"",""03RISP"",0,1,0,0,0,1,0,1,1,0,0,0"
"122,""SAO GERALDO DO ARAGUAIA"",""10RISP"",0,0,1,0,0,0,0,3,0,1,1,1"
"123,""SAO JOAO DA PONTA"",""03RISP"",0,1,0,0,0,0,1,0,0,0,1,0"
"124,""SAO JOAO DE PIRABAS"",""06RISP"",0,1,2,0,0,0,0,0,1,3,0,0"
"125,""SAO JOAO DO ARAGUAIA"",""10RISP"",0,0,1,2,0,2,3,1,1,1,1,0"
"126,""SAO MIGUEL DO GUAMA"",""03RISP"",1,3,3,1,2,2,6,6,1,5,2,1"
"127,""SAO SEBASTIAO DA BOA VISTA"",""08RISP"",0,0,1,0,3,2,0,1,1,0,2,0"
"128,""SAPUCAIA"",""14RISP"",1,0,0,0,0,0,0,0,0,0,0,0"
"129,""SENADOR JOSE PORFIRIO"",""11RISP"",0,0,2,2,0,0,3,1,0,0,0,0"
"130,""SOURE"",""05RISP"",2,0,1,5,2,1,2,3,0,4,0,0"
"131,""TAILANDIA"",""09RISP"",4,4,1,3,0,3,6,3,3,6,3,0"
"132,""TERRA ALTA"",""03RISP"",0,0,0,2,1,0,0,0,0,0,0,0"
"133,""TERRA SANTA"",""12RISP"",2,0,3,4,1,0,0,0,1,1,0,1"
"134,""TOME-ACU"",""03RISP"",1,1,4,7,6,1,5,6,5,5,1,0"
"135,""TRACUATEUA"",""06RISP"",2,2,0,0,2,0,2,0,1,5,0,5"
"136,""TRAIRAO"",""15RISP"",1,2,1,0,1,2,0,2,2,2,1,0"
"137,""TUCUMA"",""14RISP"",2,0,0,1,0,3,2,2,0,3,0,0"
"138,""TUCURUI"",""09RISP"",6,3,9,2,3,7,3,3,5,1,4,4"
"139,""ULIANOPOLIS"",""07RISP"",0,1,1,2,2,2,4,0,1,0,1,0"
"140,""URUARA"",""11RISP"",3,2,1,4,0,3,0,3,2,0,4,1"
"141,""VIGIA"",""03RISP"",2,2,1,3,3,3,2,2,2,1,4,2"
"142,""VISEU"",""06RISP"",5,0,0,1,0,1,2,3,1,1,0,1"
"143,""VITORIA DO XINGU"",""11RISP"",0,1,1,1,1,1,2,1,1,0,1,1"
"144,""XINGUARA"",""14RISP"",1,3,0,1,2,2,3,4,0,2,0,1"
